pid_label,pid,count,examples
spouse,P26,6072,"['<Gaston, Duke of Orléans, spouse, Marguerite of Lorraine>', '<Gaston, Duke of Orléans, spouse, Marie de Bourbon, Duchess of Montpensier>', '<Marguerite of Lorraine, spouse, Gaston, Duke of Orléans>', '<Katherine Mary of Lorraine, spouse, Louis, Duke of Montpensier>', ""<Marie Louise Élisabeth d'Orléans, spouse, Charles of France, Duke of Berry>""]"
place of birth,P19,6038,"[""<Louise Diane d'Orléans, place of birth, Paris>"", '<Gaston, Duke of Orléans, place of birth, Fontainebleau>', '<Marguerite of Lorraine, place of birth, Nancy>', '<Louis-Emmanuel de Valois, place of birth, Clermont-Ferrand>', '<Katherine Mary of Lorraine, place of birth, Joinville>']"
award received,P166,5241,"['<Claude of Lorraine, duke of Chevreuse, award received, Order of the Garter>', '<Louis-Philippe I, award received, Order of the Elephant>', '<Louis-Philippe I, award received, Order of the Garter>', '<Ferdinand I of the Two Sicilies, award received, Order of Charles III>', '<Ferdinand I of the Two Sicilies, award received, Order of the Golden Fleece>']"
father,P22,4999,"[""<Alexandre-Louis d'Orléans, father, Philippe, Duke of Orléans>"", ""<Louise Diane d'Orléans, father, Philippe, Duke of Orléans, Regent of France>"", '<Gaston, Duke of Orléans, father, Henry IV of France>', '<Geoffrey of Joinville, father, Simon of Joinville>', '<Marguerite of Lorraine, father, Francis II, Duke of Lorraine>']"
instance of,P31,4645,"['<House of Egmond, instance of, noble family>', '<Anscarids, instance of, noble family>', '<House of Valois, instance of, noble family>', '<House of Guise, instance of, noble family>', '<House of La Marck, instance of, noble family>']"
mother,P25,4629,"[""<Alexandre-Louis d'Orléans, mother, Elizabeth Charlotte, Princess Palatine>"", ""<Louise Diane d'Orléans, mother, Françoise Marie de Bourbon>"", ""<Gaston, Duke of Orléans, mother, Marie de' Medici>"", '<Geoffrey of Joinville, mother, Beatrice of Auxonne>', '<Marguerite of Lorraine, mother, Christina of Salm>']"
has part(s),P527,4604,"['<House of Valois, has part(s), Orléans-Longueville>', '<House of Valois, has part(s), House of Valois-Burgundy>', '<House of Valois, has part(s), House of Valois-Anjou>', '<House of Valois, has part(s), House of Orléans>', '<House of Valois, has part(s), House of Alençon>']"
part of,P361,4526,"['<House of Valois, part of, Capetian dynasty>', '<House of Braganza, part of, House of Aviz>', '<House of Bourbon-Two Sicilies, part of, Spanish House of Bourbon>', '<House of Bourbon in France, part of, House of Bourbon>', '<House of Bourbon in France, part of, Capetian dynasty>']"
family,P53,4329,"[""<Louise Diane d'Orléans, family, House of Orléans>"", '<Gaston, Duke of Orléans, family, House of Bourbon in France>', ""<Esteve II d'Auxonne, family, Anscarids>"", '<Louis-Emmanuel de Valois, family, House of Valois>', '<Katherine Mary of Lorraine, family, House of Guise>']"
member of,P463,4229,"[""<Henri d'Orléans, Duke of Aumale, member of, Académie Française>"", '<Alfonso V of Aragon, member of, Order of the Golden Fleece>', '<Ferdinand II of Aragon, member of, Order of Santiago>', '<House of Évreux, member of, Capetian dynasty>', '<Australia, member of, World Health Organization>']"
position held,P39,4165,"['<Louis-Emmanuel de Valois, position held, bishop>', '<Charles of Lorraine, duke of Mayenne, position held, Grand Chamberlain of France>', '<Charles, Cardinal of Lorraine, position held, bishop>', '<Claude of Lorraine, duke of Chevreuse, position held, Grand Chamberlain of France>', '<Henri of Lorraine-Vaudémont, position held, bishop>']"
religion or worldview,P140,3812,"['<Gaston, Duke of Orléans, religion or worldview, Catholic Church>', '<Louis-Emmanuel de Valois, religion or worldview, Catholic Church>', '<Champagne, religion or worldview, Catholic Church>', '<Charles, Cardinal of Lorraine, religion or worldview, Catholic Church>', '<Louis-Philippe I, religion or worldview, Catholic Church>']"
contains the administrative territorial entity,P150,3810,"['<Haute-Marne, contains the administrative territorial entity, Joinville>', '<Australia, contains the administrative territorial entity, Queensland>', '<Australia, contains the administrative territorial entity, Victoria>', '<Colorado, contains the administrative territorial entity, Denver>', '<Paris, contains the administrative territorial entity, 7th arrondissement of Paris>']"
participant,P710,3746,"['<2018 BeNe Ladies Tour, participant, Silvia Persico>', '<2018 BeNe Ladies Tour, participant, Eugenia Bujak>', '<2018 BeNe Ladies Tour, participant, Marianne Vos>', '<2018 BeNe Ladies Tour, participant, Lorena Wiebes>', ""<2018 BeNe Ladies Tour, participant, Jolien D'Hoore>""]"
place of death,P20,3430,"[""<Alexandre-Louis d'Orléans, place of death, Paris>"", ""<Louise Diane d'Orléans, place of death, Issy-les-Moulineaux>"", '<Marguerite of Lorraine, place of death, Paris>', '<Louis-Emmanuel de Valois, place of death, Paris>', '<Katherine Mary of Lorraine, place of death, Paris>']"
located in the administrative territorial entity,P131,3166,"['<House of Vignory, located in the administrative territorial entity, Kingdom of France>', '<Joinville, located in the administrative territorial entity, Haute-Marne>', '<Highland Park, located in the administrative territorial entity, Los Angeles>', '<Brooklyn, located in the administrative territorial entity, New York City>', '<Melbourne, located in the administrative territorial entity, Victoria>']"
genre,P136,3007,"['<Rosalía, genre, Latin pop>', '<Rosalía, genre, reggaeton>', '<Donald Glover, genre, rhythm and blues>', '<Donald Glover, genre, funk>', '<Donald Glover, genre, rap>']"
noble title,P97,2968,"[""<Alexandre-Louis d'Orléans, noble title, duke>"", ""<Louise Diane d'Orléans, noble title, princess>"", '<Marguerite of Lorraine, noble title, duke>', '<Katherine Mary of Lorraine, noble title, duke>', ""<Marie Louise Élisabeth d'Orléans, noble title, duke>""]"
head of government,P6,2853,"['<Australia, head of government, Edmund Barton>', '<Australia, head of government, Gough Whitlam>', '<Paris, head of government, Bertrand Delanoë>', '<Paris, head of government, Jacques Chirac>', '<Paris, head of government, Jules Ferry>']"
country of origin,P495,2799,"['<Constance of Aragon, Queen of Sicily, country of origin, Spain>', '<Bellyache, country of origin, United States of America>', '<No Time to Die, country of origin, United States of America>', '<No Time to Die, country of origin, United Kingdom>', '<pop music, country of origin, United States of America>']"
follows,P155,2731,"['<Crown of Aragon, follows, Kingdom of Aragon>', '<Bellyache, follows, Ocean Eyes>', '<Australia, follows, United Kingdom of Great Britain and Ireland>', '<No Time to Die, follows, Everything I Wanted>', '<1980s, follows, 1970s>']"
followed by,P156,2690,"['<1980s, followed by, 1990s>', '<2019 Teen Choice Awards, followed by, 2020>', '<2019, followed by, 2020>', '<1950s, followed by, 1960s>', '<Bury a Friend, followed by, Wish You Were Gay>']"
country for sport,P1532,2690,"['<Kobe Bryant, country for sport, United States of America>', '<Odell Beckham Jr., country for sport, United States of America>', '<Justin Bieber, country for sport, Canada>', '<Alena Amialiusik, country for sport, Belarus>', '<Olga Zabelinskaya, country for sport, Russia>']"
native language,P103,2550,"['<Louis-Philippe I, native language, French>', '<Louis XIV of France, native language, French>', '<René of Anjou, native language, French>', '<Prince François, Prince of Joinville, native language, French>', ""<Henri d'Orléans, Duke of Aumale, native language, French>""]"
winner,P1346,2505,"['<2018 BeNe Ladies Tour, winner, Lorena Wiebes>', '<2018 BeNe Ladies Tour, winner, Marianne Vos>', ""<2009 in women's road cycling, winner, Kirsten Wild>"", ""<2009 in women's road cycling, winner, Marianne Vos>"", ""<2009 in women's road cycling, winner, Emma Johansson>""]"
residence,P551,2363,"[""<Anne Marie Louise d'Orléans, residence, Paris>"", '<Louis XIV of France, residence, Palace of Versailles>', '<Big Sean, residence, Detroit>', '<Drake, residence, Toronto>', '<Ariana Grande, residence, New York City>']"
nominated for,P1411,2223,"['<Rosalía, nominated for, Grammy Award for Best New Artist>', '<Drake, nominated for, Grammy Award for Best New Artist>', '<Yesterday, nominated for, Grammy Award for Song of the Year>', '<The West Wing, nominated for, Golden Globe Award for Best Actress – Television Series Drama>', '<The West Wing, nominated for, Golden Globe Award for Best Actress – Television Series Drama>']"
member of sports team,P54,2079,"['<Vera Koedooder, member of sports team, Liv Racing Xstra>', '<Vera Koedooder, member of sports team, Vrienden van het Platteland>', '<Anouska Koster, member of sports team, SD Worx>', '<Anouska Koster, member of sports team, Liv Racing Xstra>', '<Anouska Koster, member of sports team, Jumbo-Visma Women>']"
organizer,P664,2011,"['<Grammy Awards, organizer, National Academy of Recording Arts and Sciences>', '<New York Fashion Week, organizer, IMG>', '<No label, organizer, Union Cycliste Internationale>', '<2018–19 UCI Cyclo-cross World Cup, organizer, Union Cycliste Internationale>', '<Rund um die Nürnberger Altstadt, organizer, Union Cycliste Internationale>']"
work location,P937,1996,"['<Louis-Philippe I, work location, Paris>', '<Prince François, Prince of Joinville, work location, Paris>', ""<Henri d'Orléans, Duke of Aumale, work location, Paris>"", '<Prince Louis, Duke of Nemours, work location, Paris>', '<Henry II of France, work location, Paris>']"
language used,P2936,1966,"['<Kingdom of Pamplona, language used, French>', '<Kingdom of Pamplona, language used, Basque>', '<Kingdom of Pamplona, language used, Latin>', '<Crown of Aragon, language used, Spanish>', '<Crown of Aragon, language used, Latin>']"
educated at,P69,1962,"['<Prince Ferdinand Philippe, Duke of Orléans, educated at, École polytechnique>', '<Manfred, King of Sicily, educated at, University of Bologna>', '<Paco Rabanne, educated at, Beaux-Arts de Paris>', '<Jake Gyllenhaal, educated at, Columbia University>', '<Banks, educated at, University of Southern California>']"
cast member,P161,1901,"['<No Time to Die, cast member, David Dencik>', '<No Time to Die, cast member, Daniel Craig>', '<No Time to Die, cast member, Jeffrey Wright>', '<No Time to Die, cast member, Rami Malek>', '<No Time to Die, cast member, Ralph Fiennes>']"
language of work or name,P407,1806,"['<Bellyache, language of work or name, English>', '<No Time to Die, language of work or name, English>', '<iTunes, language of work or name, multiple languages>', '<Yesterday, language of work or name, English>', '<Eres tú, language of work or name, Spanish>']"
continent,P30,1805,"['<Kingdom of Aragon, continent, Europe>', '<Kingdom of Pamplona, continent, Europe>', '<Crown of Aragon, continent, Europe>', '<Kingdom of the Netherlands, continent, Africa>', '<Kingdom of the Netherlands, continent, Europe>']"
playing hand,P741,1803,"['<Lourdes Domínguez Lino, playing hand, right-handedness>', '<Tímea Babos, playing hand, right-handedness>', '<Lucie Hradecká, playing hand, right-handedness>', '<Ana Ivanovic, playing hand, right-handedness>', '<Anna-Lena Grönefeld, playing hand, right-handedness>']"
significant event,P793,1755,"['<No Time to Die, significant event, principal photography>', '<Melbourne, significant event, 1956 Summer Olympics>', '<Madonna, significant event, Paradise Papers>', '<Iron Man, significant event, principal photography>', '<Paris, significant event, Paris Commune>']"
writing language,P6886,1719,"['<Louis-Philippe I, writing language, French>', '<Louis XIV of France, writing language, French>', '<Louise Marguerite of Lorraine, writing language, French>', ""<Henri d'Orléans, Duke of Aumale, writing language, French>"", '<Prince Ferdinand Philippe, Duke of Orléans, writing language, French>']"
headquarters location,P159,1601,"['<Vevo, headquarters location, New York City>', '<Los Angeles Times, headquarters location, Los Angeles>', '<Twitter, headquarters location, San Francisco>', '<Starbucks, headquarters location, Seattle>', '<Gucci, headquarters location, Florence>']"
relative,P1038,1590,"[""<Alexandre-Louis d'Orléans, relative, Louis XIV of France>"", '<Elizabeth Charlotte, Princess Palatine, relative, Elizabeth Stuart, Queen of Bohemia>', '<Elizabeth Charlotte, Princess Palatine, relative, Sophia of Hanover>', '<Elizabeth Charlotte, Princess Palatine, relative, Frederick V of the Palatinate>', '<Jacques, Duke of Nemours, relative, Philippe Emmanuel, Duke of Mercœur>']"
member of political party,P102,1590,"['<Madonna, member of political party, Democratic Party>', '<Katy Perry, member of political party, Democratic Party>', '<Kanye West, member of political party, independent politician>', '<Calvin Klein, member of political party, Democratic Party>', '<Jake Gyllenhaal, member of political party, Democratic Party>']"
capital of,P1376,1428,"['<Melbourne, capital of, Australia>', '<Melbourne, capital of, Victoria>', '<Stockholm, capital of, Union between Sweden and Norway>', '<Stockholm, capital of, Sweden>', '<Auckland, capital of, New Zealand>']"
official language,P37,1400,"['<Champagne, official language, French>', '<Kingdom of Aragon, official language, Latin>', '<Crown of Aragon, official language, Latin>', '<Australia, official language, English>', '<Atlanta, official language, English>']"
general classification of race participants,P2321,1326,"[""<2018 BeNe Ladies Tour, general classification of race participants, Jolien D'Hoore>"", '<2018 BeNe Ladies Tour, general classification of race participants, Eugenia Bujak>', '<2018 BeNe Ladies Tour, general classification of race participants, Elisa Balsamo>', '<2018 BeNe Ladies Tour, general classification of race participants, Marianne Vos>', '<2018 BeNe Ladies Tour, general classification of race participants, Trixi Worrack>']"
location,P276,1226,"['<79th Golden Globe Awards, location, Beverly Hills>', '<79th Golden Globe Awards, location, New York City>', '<Grammy Awards, location, Los Angeles>', '<Golden Globe Award for Best Original Song, location, United States of America>', '<South by Southwest, location, Austin>']"
head of state,P35,1218,"['<Kingdom of Aragon, head of state, Ramiro I of Aragon>', '<Kingdom of Pamplona, head of state, García Íñiguez of Pamplona>', '<Kingdom of Pamplona, head of state, Sancho II of Pamplona>', '<Australia, head of state, John Kerr>', '<Australia, head of state, Charles III of the United Kingdom>']"
capital,P36,1204,"['<No label, capital, La Roche-sur-Yon>', '<Australia, capital, Canberra>', '<Australia, capital, Melbourne>', '<Kingdom of the Netherlands, capital, Amsterdam>', '<Kingdom of the Netherlands, capital, The Hague>']"
handedness,P552,1204,"['<Paul McCartney, handedness, left-handedness>', '<Greta Thunberg, handedness, right-handedness>', '<Lady Gaga, handedness, left-handedness>', '<Marie Curie, handedness, left-handedness>', '<Greta Garbo, handedness, left-handedness>']"
employer,P108,1158,"['<Selena Gomez, employer, UNICEF>', '<Katy Perry, employer, UNICEF>', '<Kanye West, employer, Gap Inc.>', '<Takashi Murakami, employer, University of California, Los Angeles>', '<Lady Gaga, employer, Interscope Records>']"
field of work,P101,1130,"['<Charles I Louis, Elector Palatine, field of work, governance>', '<Henry I of Lorraine, duke of Guise, field of work, Catholicism>', '<Pedro I of Brazil, field of work, music>', '<Donald Glover, field of work, music>', '<AURORA, field of work, music>']"
instrument,P1303,1128,"['<Juana I of Castile, instrument, guitar>', '<Rosalía, instrument, voice>', '<Donald Glover, instrument, piano>', '<Donald Glover, instrument, voice>', '<AURORA, instrument, piano>']"
original language of film or TV show,P364,1096,"['<No Time to Die, original language of film or TV show, English>', '<13 Reasons Why, original language of film or TV show, English>', '<The West Wing, original language of film or TV show, English>', '<Euphoria, original language of film or TV show, English>', ""<Billie Eilish: The World's a Little Blurry, original language of film or TV show, English>""]"
place of burial,P119,928,"[""<Alexandre-Louis d'Orléans, place of burial, Basilica of Saint-Denis>"", '<Gaston, Duke of Orléans, place of burial, Basilica of Saint-Denis>', '<Marguerite of Lorraine, place of burial, Basilica of Saint-Denis>', ""<Marie Louise Élisabeth d'Orléans, place of burial, Basilica of Saint-Denis>"", '<Charles, Cardinal of Lorraine, place of burial, Reims Cathedral>']"
cause of death,P509,871,"['<Antoine Philippe, Duke of Montpensier, cause of death, tuberculosis>', '<Louise Marie Adélaïde de Bourbon, cause of death, breast cancer>', '<Louis Philippe I, Duke of Orléans, cause of death, tuberculosis>', '<Louis Charles, Count of Beaujolais, cause of death, tuberculosis>', '<Princess Marie of France, cause of death, tuberculosis>']"
record label,P264,790,"['<Rosalía, record label, Columbia Records>', '<Rosalía, record label, Sony Music>', '<Donald Glover, record label, RCA Records>', '<Bellyache, record label, Interscope Records>', '<No Time to Die, record label, Interscope Records>']"
founded by,P112,756,"['<House of Valois, founded by, Charles of Valois>', '<House of Guise, founded by, René II>', '<House of Bourbon-Two Sicilies, founded by, Ferdinand I of the Two Sicilies>', '<House of Luxembourg, founded by, Henry V, Count of Luxembourg>', '<House of Bourbon in France, founded by, Robert>']"
ethnic group,P172,753,"['<René of Anjou, ethnic group, French>', '<Prince Ferdinand Philippe, Duke of Orléans, ethnic group, French>', '<Joan II of Navarre, ethnic group, French>', '<Australia, ethnic group, Australians>', '<Australia, ethnic group, Indians>']"
director,P57,720,"['<X-Men, director, James Mangold>', '<Pretty Little Liars, director, Roger Kumble>', '<Glee, director, Eric Stoltz>', '<La Fée aux Choux, director, Alice Guy-Blaché>', '<Subway, director, Luc Besson>']"
narrative location,P840,702,"['<No Time to Die, narrative location, London>', '<No Time to Die, narrative location, Jamaica>', '<13 Reasons Why, narrative location, California>', '<The West Wing, narrative location, Washington, D.C.>', '<Everything, Everything, narrative location, Los Angeles>']"
points classification,P3494,673,"['<2018 BeNe Ladies Tour, points classification, Lorena Wiebes>', ""<2018 BeNe Ladies Tour, points classification, Jolien D'Hoore>"", '<2018 BeNe Ladies Tour, points classification, Marianne Vos>', ""<2009 in women's road cycling, points classification, Marianne Vos>"", ""<2009 in women's road cycling, points classification, Emma Johansson>""]"
named after,P138,672,"['<Maria Carolina of Austria, named after, Archduchess Maria Carolina of Austria>', '<Maria Carolina of Austria, named after, Archduchess Maria Carolina of Austria>', '<Melbourne, named after, William Lamb, 2nd Viscount Melbourne>', '<Éditions Albin Michel, named after, Albin Michel>', '<Selena Gomez, named after, Selena>']"
distribution format,P437,648,"['<No Time to Die, distribution format, video on demand>', '<13 Reasons Why, distribution format, video on demand>', '<The West Wing, distribution format, video on demand>', '<Euphoria, distribution format, video on demand>', '<Everything, Everything, distribution format, video on demand>']"
distributed by,P750,647,"['<No Time to Die, distributed by, Max>', '<No Time to Die, distributed by, Universal Pictures>', '<13 Reasons Why, distributed by, Netflix>', '<The West Wing, distributed by, Warner Bros. Television Studios>', '<The West Wing, distributed by, Netflix>']"
applies to jurisdiction,P1001,626,"['<1993 Moroccan general election, applies to jurisdiction, Morocco>', '<Senate of Chile, applies to jurisdiction, Chile>', '<1921 Swedish general election, applies to jurisdiction, Sweden>', '<Saeima, applies to jurisdiction, Latvia>', '<Parliament of Sierra Leone, applies to jurisdiction, Sierra Leone>']"
influenced by,P737,609,"['<Big Sean, influenced by, Kanye West>', '<Marina Diamandis, influenced by, Madonna>', '<Madonna, influenced by, David Bowie>', '<Britney Spears, influenced by, Michael Jackson>', '<Britney Spears, influenced by, Madonna>']"
godparent,P1290,601,"[""<Louise Élisabeth d'Orléans, godparent, Elizabeth Charlotte, Princess Palatine>"", ""<Louise Élisabeth d'Orléans, godparent, Louis d'Orléans, Duke of Orléans>"", '<Louis XIV of France, godparent, Cardinal Mazarin>', '<Louis XIV of France, godparent, Charlotte Marguerite de Montmorency>', '<Prince Louis, Duke of Nemours, godparent, Marie-Thérèse, Duchess of Angoulême>']"
candidate,P726,600,"['<2012 French presidential election, candidate, Nicolas Sarkozy>', '<2012 French presidential election, candidate, Marine Le Pen>', '<2012 French presidential election, candidate, Nicolas Dupont-Aignan>', '<2012 French presidential election, candidate, Eva Joly>', '<2012 French presidential election, candidate, Jean-Luc Mélenchon>']"
subclass of,P279,589,"['<prince of Asturias, subclass of, crown prince>', '<Crown of Aragon, subclass of, personal union>', '<Count of Ribagorza, subclass of, head of state>', '<veganism, subclass of, vegetarianism>', '<vegan nutrition, subclass of, veganism>']"
victory,P2522,549,"['<Demi Vollering, victory, 2022 Tour de France Femmes>', ""<Annemiek van Vleuten, victory, 2018 UCI Road World Championships – Women's time trial>"", '<Annemiek van Vleuten, victory, 2023 Tour de France Femmes>', '<Annemiek van Vleuten, victory, 2022 Tour de France Femmes>', ""<Anna van der Breggen, victory, 2015 Giro d'Italia Femminile>""]"
unmarried partner,P451,529,"['<Louis XIV of France, unmarried partner, Madame de Montespan>', '<Madame de Montespan, unmarried partner, Louis XIV of France>', '<Henry II of France, unmarried partner, Diane de Poitiers>', '<Philippe, Duke of Orléans, Regent of France, unmarried partner, Marie-Madeleine de Parabère>', '<Big Sean, unmarried partner, Naya Rivera>']"
candidacy in election,P3602,498,"['<Constance Markievicz, candidacy in election, 1918 United Kingdom general election>', '<Jacques Chirac, candidacy in election, 1988 French presidential election>', '<Jacques Chirac, candidacy in election, 1995 French presidential election>', '<Jacques Chirac, candidacy in election, 1981 French presidential election>', '<Jacques Chirac, candidacy in election, 2002 French presidential election>']"
has works in the collection,P6379,492,"['<Princess Marie of France, has works in the collection, Musée de la Vie romantique>', '<Maria Carolina of Austria, has works in the collection, Museum of Modern Art>', '<Gucci, has works in the collection, Metropolitan Museum of Art>', '<Kanye West, has works in the collection, Victoria and Albert Museum>', '<ABBA, has works in the collection, Victoria and Albert Museum>']"
owner of,P1830,492,"['<Paris, owner of, Palais Omnisports de Paris-Bercy>', '<Paris, owner of, Parc des Princes>', '<Paris, owner of, Eiffel Tower>', '<Paris, owner of, Stade Jean-Bouin>', '<Osaka, owner of, Yodoko Sakura Stadium>']"
replaces,P1365,468,"['<Italy, replaces, Kingdom of Italy>', '<United Kingdom, replaces, United Kingdom of Great Britain and Ireland>', '<Austria, replaces, Austria-Hungary>', ""<UCI Women's World Tour, replaces, UCI Women's Road World Cup>"", '<Russia, replaces, Russian Soviet Federative Socialist Republic>']"
sports season of league or competition,P3450,461,"['<2018–19 UCI Cyclo-cross World Cup, sports season of league or competition, UCI Cyclo-cross World Cup>', '<2012–13 UCI Cyclo-cross World Cup, sports season of league or competition, UCI Cyclo-cross World Cup>', ""<2012 UCI Women's Road World Cup, sports season of league or competition, UCI Women's Road World Cup>"", '<2021-22 UCI Cyclo-cross World Cup, sports season of league or competition, UCI Cyclo-cross World Cup>', '<2012 UCI Road World Championships, sports season of league or competition, UCI Road World Championships>']"
conflict,P607,448,"['<Prince Pierre, Duke of Penthièvre, conflict, American Civil War>', '<Marie Marvingt, conflict, World War I>', '<Marie Marvingt, conflict, World War II>', '<Rawya Ateya, conflict, 1956 War>', '<Abdelaziz Bouteflika, conflict, Algerian War>']"
filming location,P915,439,"['<No Time to Die, filming location, Norway>', '<No Time to Die, filming location, London>', '<No Time to Die, filming location, Jamaica>', '<No Time to Die, filming location, Pinewood Studios>', '<13 Reasons Why, filming location, California>']"
chairperson,P488,437,"['<National Assembly, chairperson, Laurent Fabius>', '<National Assembly, chairperson, Patrick Ollier>', '<National Assembly, chairperson, Yaël Braun-Pivet>', '<National Assembly, chairperson, Jacques Chaban-Delmas>', '<National Assembly, chairperson, Jean-Louis Debré>']"
screenwriter,P58,425,"['<Subway, screenwriter, Luc Besson>', '<Three Colours: Blue, screenwriter, Krzysztof Kieślowski>', '<Ishkq in Paris, screenwriter, Prem Raj>', '<Ishkq in Paris, screenwriter, Preity Zinta>', '<La journée de la jupe, screenwriter, Jean-Paul Lilienfeld>']"
place of publication,P291,424,"['<Los Angeles Times, place of publication, Los Angeles>', '<Bad, place of publication, United States of America>', '<LA Weekly, place of publication, Los Angeles>', '<When We All Fall Asleep, Where Do We Go?, place of publication, United States of America>', '<Rolling Stone, place of publication, London>']"
located in or next to body of water,P206,413,"['<Paris, located in or next to body of water, Seine>', '<Paris, located in or next to body of water, Canal Saint-Martin>', '<New York City, located in or next to body of water, Atlantic Ocean>', '<United States of America, located in or next to body of water, Atlantic Ocean>', '<Florida, located in or next to body of water, Atlantic Ocean>']"
notable work,P800,378,"['<Demi Lovato, notable work, Camp Rock 2: The Final Jam>', '<Demi Lovato, notable work, Sonny with a Chance>', '<Demi Lovato, notable work, Camp Rock>', '<Selena Gomez, notable work, Ramona and Beezus>', '<Billie Eilish, notable work, Happier Than Ever>']"
medical condition,P1050,377,"['<Antoine Philippe, Duke of Montpensier, medical condition, tuberculosis>', '<Louis Charles, Count of Beaujolais, medical condition, tuberculosis>', '<Princess Marie of France, medical condition, tuberculosis>', '<Pedro I of Brazil, medical condition, tuberculosis>', '<Louise Marie of Orléans, medical condition, tuberculosis>']"
author,P50,366,"['<Thirteen Reasons Why, author, Jay Asher>', '<Ondine, author, Jean Giraudoux>', '<psychoanalysis, author, Sigmund Freud>', '<Ulysses, author, James Joyce>', '<La Reine Margot, author, Alexandre Dumas>']"
owned by,P127,349,"['<Vevo, owned by, Google>', '<Vevo, owned by, Warner Music Group>', '<Vevo, owned by, Sony Music>', '<BBC Radio 1, owned by, BBC>', '<YouTube, owned by, Google>']"
performer,P175,332,"['<Bellyache, performer, Billie Eilish>', '<No Time to Die, performer, Billie Eilish>', '<Yesterday, performer, The Beatles>', '<Where Do We Go? World Tour, performer, Billie Eilish>', '<Come Out and Play, performer, Billie Eilish>']"
basic form of government,P122,330,"['<Australia, basic form of government, constitutional monarchy>', '<Kingdom of the Netherlands, basic form of government, constitutional monarchy>', '<Japan, basic form of government, constitutional monarchy>', '<New Zealand, basic form of government, constitutional monarchy>', '<Canada, basic form of government, constitutional monarchy>']"
characters,P674,329,"['<Sherlock, characters, Dr. John Watson>', '<Sherlock, characters, Sherlock Holmes>', '<Diane de Poitiers, characters, Francis I of France>', '<Diane de Poitiers, characters, Nostradamus>', '<Diane de Poitiers, characters, Diane de Poitiers>']"
